"","text","chapitre"
"106","And he thought: Is this the Harkonnen secret? Does it mean we won't even be able to escape on shielded frigates if all goes against us? He shook his head sharply to drive out such thoughts, said: Let's get to the working estimate .","11"
"107","We'll have to move fast with the Fremen .","11"
"108","Let us have a few captive Sardaukar to parade in front of the Landsraad Council and matters will be much different--profits or no profits .","11"
"109","We've been trained for it .","11"
"110","Gurney, take care of that smuggler situation first .","11"
"111","On that first day when Muad'Dib rode through the streets of Arrakeen with his family, some of the people along the way recalled the legends and the prophecy and they ventured to shout: Mahdi! But their shout was more a question than a statement, for as yet they could only hope he was the one foretold as the Lisan al-Gaib, the Voice from the Outer World .","12"
"112","Their attention was focused, too, on the mother, because they had heard she was a Bene Gesserit and it was obvious to them that she was like the other Lisan al-Gaib .","12"
"113","-from Manual of Muad'Dib by the Princess Irulan .","12"
"114","    The Duke found Thufir Hawat alone in the corner room to which a guard directed him .","12"
"115","There was the sound of men setting up communications equipment in an adjoining room, but this place was fairly quiet .","12"
"116","The Duke glanced around as Hawat arose from a paper-cluttered table .","12"
"117","    M'Lord? .","12"
"118","Could a woman conspire against her own son? .","12"
"119"," Hawat extended a filmclip capsule .","12"
"120","    Some things beggar likeness, he thought .","12"
"121","There is probably no more terrible instant of enlightenment than the one in which you discover your father is a man--with human flesh .","13"
"122","-from Collected Sayings of Muad'Dib by the Princess Irulan .","13"
"123","    The Duke said: Paul, I'm doing a hateful thing, but I must .","13"
"124"," He stood beside the portable poison snooper that had been brought into the conference room for their breakfast .","13"
"125","The thing's sensor arms hung limply over the table, reminding Paul of some weird insect newly dead .","13"
"126","    The Duke's attention was directed out the windows at the landing field and its roiling of dust against the morning sky .","13"
"127","    Paul had a viewer in front of him containing a short filmclip on Fremen religious practices .","13"
"128","The clip had been compiled by one of Hawat's experts and Paul found himself disturbed by the references to himself .","13"
"129","    Mahdi! .","13"
"130","    Lisan al-Gaib! .","13"
"131","    His first encounter with the people he had been ordered to betray left Dr .","14"
"132","    They met in midmorning outside the Arrakeen landing field's administration building .","14"
"133","You speak only of possibilities .","14"
"134","    Indeed? And what is your work? .","14"
"135","We've waded in here with our mob of tame killers, eh? And we expect you to realize immediately that we're different from the Harkonnens? .","14"
"136","Do I hold the same course?  .","14"
"137","Rock outcroppings, perhaps .","14"
"138","Some parts of the desert teem with life .","14"
"139","Is this the regular working frequency, Kynes?  .","14"
"140","Cuts down interference .","14"
"141","This is what uncouples him from belief in his own pretensions .","15"
"142","The classic central chandelier remained unlighted, and its chain twisted upward into shadows where the mechanism of the poison-snooper had been concealed .","15"
"143","    From behind the man, the Duke said: We haven't gone that far in our thinking, sir .","15"
"144","He spoke directly to Jessica: Do you bring the shortening of the way? .","15"
"145","    Leto lifted his water flagon, held it aloft where the suspensor, lights shot beams of reflection off it .","15"
"146","Consider it another toast--a toast to all who've died bringing us to this station .","15"
"147","    Halleck's music still wafted over the room, but it had come out of its minor key, lilting and lively now as though he were trying to lift the mood .","15"
"148","    We brought both from Caladan, she said .","15"
"149","She saw a handsignal pass from Halleck to Idaho, saw the house troopers along the walls move into positions of maximum guard  .","15"
"150","    Drowned? It was the stillsuit manufacturer's daughter .","15"
"151","    She slipped out of bed, checked the screen monitors to see where her family was .","16"
"152","    There was one shouting, incoherent voice .","16"
"153","    Caffeine, Jessica said .","16"
"154","Let him sleep it off .","16"
"155","Their lieutenants are not strategically enough placed to consider .","16"
"156","    Let us discuss something else for a minute, then, she said .","16"
"157","    There could be many interpretations for your concern, Hawat said .","16"
"158","    A threat to my son got past you right here in this house, she said .","16"
"159","    Now he was openly angry, betraying it in quickness of breathing, in dilation of nostrils, a steady stare .","16"
"160","    You accuse me of whispering baseless suspicions?  .","16"
"161","Do you wrestle with dreams?  .","17"
"162","Do you contend with shadows?  .","17"
"163","Do you move in a kind of sleep?  .","17"
"164","Time has slipped away  .","17"
"165","Your life is stolen  .","17"
"166","You tarried with trifles,  .","17"
"167","Victim of your folly .","17"
"168","-Dirge for Jamis on the Funeral Plain, from Songs of Muad'Dib by the Princess Irulan .","17"
"169","    What does it mean? he wondered .","17"
"170","It will be all that remains to you .","17"
"171","She thought of sitting up and turning on a light, but something stayed the decision .","18"
"172","She was on her side, hands tied behind her .","18"
"173"," the Baron said .","18"
"174","If you choose not to leave    he has other orders .","18"
"175","    He had been practicing the awareness-breathing, calming his mind, listening to their captors .","18"
"176","But it's one of them little liaison jobs .","18"
"177","    Kinet closed his door, bent to the controls .","18"
"178","    Kinet swiveled his seat .","18"
"179","    Has someone been at this 'thopter, preparing it for us? she wondered .","18"
"180","The Baron wants no witnesses .","18"
"181","Arrakis teaches the attitude of the knife--chopping off what's incomplete and saying: Now, it's complete because it's ended here .","19"
"182","-from Collected Sayings of, Muad'Dib by the Princess Irulan .","19"
"183","    A man in Harkonnen uniform skidded to a stop at the end of the hall, stared in at Yueh, taking in at a single glance Mapes' body, the sprawled form of the Duke, Yueh standing there .","19"
"184","The man held a lasgun in his right hand .","19"
"185","There was a casual air of brutality about him, a sense of toughness and poise that sent a shiver through Yueh .","19"
"186","    Sardaukar, Yueh thought .","19"
"187","A Bashar by the look of him .","19"
"188","Probably one of the Emperor's own sent here to keep an eye on things .","19"
"189","No matter what the uniform, there's no disguising them .","19"
"190","    You're Yueh, the man said .","19"
"191","    The guns nibbled at the caves where the Duke's fighting men had retreated for a last-ditch stand .","20"
"192","    He adjusted one of the little suspensors that guarded his fat body against the pull of gravity .","20"
"193","    Yueh stood, swaying, His lips moved with careful precision, and his voice came in oddly measured cadence: You    think    you    de    feated    me .","20"
"194","Any word yet?  .","20"
"195","The chair beneath him took on firmness, the bindings were sharper .","20"
"196","    Leto grew conscious of a frog sound, the burred mewling of someone's agony .","20"
"197","Perhaps on other portions of the body .","20"
