"","text","chapitre"
"445","    My brother knows I'm here, Alia said .","45"
"446","This play has gone far enough .","45"
"447","You    you    .","45"
"448","    Something sparkled to his left .","45"
"449","    His words were drowned in a metallic roaring as the shipwall behind the Emperor trembled and rocked .","45"
"450","The man had lost one of his masking contact lenses, and the eye stared out a total blue so dark as to be almost black .","45"
"451","    It was to the Arrakeen governor's mansion, the old Residency the Atreides had first occupied on Dune, that they escorted Paul-Muad'Dib on the evening of his victory .","46"
"452","He glanced around at the beams and the high, slitted windows .","46"
"453","    The Sardaukar's eyes, Paul noted, carried a glazed expression of shock .","46"
"454","It was a lessening of the man, and Paul felt the ghost-wind of the jihad in it .","46"
"455","Thufir Hawat's with 'em, m'Lord .","46"
"456","    Why should I fear that man? he wondered .","46"
"457","    Hawat's gaze stabbed past Paul, and the old man said: Lady Jessica, I but learned this day how I've wronged you in my thoughts .","46"
"458","Anything at all .","46"
"459","    He glanced at her, saw the fear for him in her eyes .","46"
"460","    Please stand aside, Paul said .","46"
